,Unnamed: 0,place_id,name,price_level,rating,types,address,phone_number,opening_hours,photo_ref,user_ratings_total,google_url,vegan_rating,gf_rating,veg_rating
0,0,ChIJMXCBVyZ544kRTZdKnImoaO4,El Jefe's Taqueria - Boston University,1.0,4.5,"restaurant, food, point_of_interest, establishment","957 Commonwealth Ave, Boston, MA 02215, USA",(617) 530-1327,"[{'close': {'day': 1, 'time': '0300'}, 'open': {'day': 0, 'time': '0800'}}, {'close': {'day': 2, 'time': '0300'}, 'open': {'day': 1, 'time': '0800'}}, {'close': {'day': 3, 'time': '0300'}, 'open': {'day': 2, 'time': '0800'}}, {'close': {'day': 4, 'time': '0300'}, 'open': {'day': 3, 'time': '0800'}}, {'close': {'day': 5, 'time': '0300'}, 'open': {'day': 4, 'time': '0800'}}, {'close': {'day': 6, 'time': '0300'}, 'open': {'day': 5, 'time': '0800'}}, {'close': {'day': 0, 'time': '0300'}, 'open': {'day': 6, 'time': '0800'}}]",AdDdOWoZOvW1mY3rNqXGeGIVF8Z9bocPncw-uBOlYwoatjloa9x6ZNoajx6yrDyd8zL59UNqYhamo25ZTsi4KaXKOt4HrjMz8bM_Bslhweblmy5n1XwxttttJouUEetkjpPBeDtFmDNFJVoLEVmBEs95Wwh6_XOEGXHXybdMMWMoWPrZ3S9X,380,https://maps.google.com/?cid=17179166087590877005,4.1,2.5,4.4
1,1,ChIJqXVhCcV544kRW9_Owqj0_Hg,Carlo's Cucina Italiana,2.0,4.6,"restaurant, food, point_of_interest, establishment","131 Brighton Ave, Allston, MA 02134, USA",(617) 254-9759,"[{'close': {'day': 0, 'time': '2200'}, 'open': {'day': 0, 'time': '1200'}}, {'close': {'day': 1, 'time': '2200'}, 'open': {'day': 1, 'time': '1100'}}, {'close': {'day': 2, 'time': '2200'}, 'open': {'day': 2, 'time': '1100'}}, {'close': {'day': 3, 'time': '2200'}, 'open': {'day': 3, 'time': '1100'}}, {'close': {'day': 4, 'time': '2200'}, 'open': {'day': 4, 'time': '1100'}}, {'close': {'day': 5, 'time': '2200'}, 'open': {'day': 5, 'time': '1100'}}, {'close': {'day': 6, 'time': '2200'}, 'open': {'day': 6, 'time': '1100'}}]",AdDdOWqxGBXgvMf4GzIx1T1HGlPtZ4CAtAjH5tke3BdkSMgf7xB_2D5CZHi1egcjs-JgA71xE8TYRELJrT01lCOlZepkZVnblp3Fc0vI_Viu5xT56vRAkWvqXqgxmWLWj4usKxze0ap9PP3zkORFpBivvkHGS_QiFblgPrQppnnVvZ-0rYL6,664,https://maps.google.com/?cid=8718111984342458203,5.0,2.5,4.9
2,2,ChIJaa-5vht644kRzT6aPy9UYOs,Woody's Grill & Tap,2.0,4.6,"restaurant, food, point_of_interest, establishment","58 Hemenway St, Boston, MA 02115, USA",(617) 375-9663,"[{'close': {'day': 0, 'time': '2100'}, 'open': {'day': 0, 'time': '1600'}}, {'close': {'day': 1, 'time': '2100'}, 'open': {'day': 1, 'time': '1600'}}, {'close': {'day': 2, 'time': '2100'}, 'open': {'day': 2, 'time': '1600'}}, {'close': {'day': 3, 'time': '2100'}, 'open': {'day': 3, 'time': '1600'}}, {'close': {'day': 4, 'time': '2200'}, 'open': {'day': 4, 'time': '1600'}}, {'close': {'day': 5, 'time': '2200'}, 'open': {'day': 5, 'time': '1600'}}, {'close': {'day': 6, 'time': '2200'}, 'open': {'day': 6, 'time': '1600'}}]",AdDdOWpdD751WwraJujXD0JlV3xduk3oKiKcN-s-M9JmUy2s6GpaKmSpbxUNYmeaPJ5ec0sSkUn4FnWFcHIXdljGj5zPzRU0r9cgLhi0KOy5X7HDApb7HKapBnBXXaVy8-TsU3d77q8b5purM4znIZfseOqylNUTcBKpbWM2IILsRz-yju6q,554,https://maps.google.com/?cid=16960648758584557261,2.5,2.5,4.3
3,3,ChIJUQfERfR544kRPexdI3z6tyU,Sweet Cheeks Q,2.0,4.3,"bar, restaurant, food, point_of_interest, establishment","1381 Boylston St, Boston, MA 02215, USA",(617) 266-1300,"[{'close': {'day': 0, 'time': '2100'}, 'open': {'day': 0, 'time': '1130'}}, {'close': {'day': 1, 'time': '2100'}, 'open': {'day': 1, 'time': '1130'}}, {'close': {'day': 2, 'time': '2100'}, 'open': {'day': 2, 'time': '1130'}}, {'close': {'day': 3, 'time': '2100'}, 'open': {'day': 3, 'time': '1130'}}, {'close': {'day': 4, 'time': '2100'}, 'open': {'day': 4, 'time': '1130'}}, {'close': {'day': 5, 'time': '2200'}, 'open': {'day': 5, 'time': '1130'}}, {'close': {'day': 6, 'time': '2200'}, 'open': {'day': 6, 'time': '1130'}}]",AdDdOWoM8D4w1VivnIRbMNxebz3OtbqKsyTuktKgeV9OXKpnSxfeSj22PdHFjtcs0ZBf3d3sjYmy2SC83PhQfz8VF8rbnEHdGEHWYSdBanbccoT0FgxiAgp9ZnP6CRBpcXXlBdzjGi86_ulQZ_BTIaMJOTP03p7piz930vov6kFdigRPJteZ,1797,https://maps.google.com/?cid=2717916311217630269,4.6,2.5,4.3
4,4,ChIJ1SGgo_V544kRmGe2qAAC1x0,El Pelón Taqueria,1.0,4.4,"restaurant, food, point_of_interest, establishment","92 Peterborough St, Boston, MA 02215, USA",(617) 262-9090,[],AdDdOWpb-lov_-wyKiRj_NHi070LlOwoQRKfr1Alp0TCIw5GGbijr8qnSowQZwuvwdHPRQ2rVRm5XYnMy_bLhsdkNcsM6QYQnhdnU7K3CgI5vOH0v2k-kHMF0CDg45arA5dq7U741qC494l-S31JVYWtOdOHj2o-GmFM3NqmGB40yPyWiOYb,1428,https://maps.google.com/?cid=2150189548946483096,4.5,2.5,4.4
5,5,ChIJQ4eRAvZ744kRt0450qy5QIs,Cafe sauvage,2.0,4.6,"restaurant, food, point_of_interest, establishment","25 Massachusetts Ave, Boston, MA 02115, USA",(857) 226-4799,"[{'close': {'day': 0, 'time': '1500'}, 'open': {'day': 0, 'time': '0900'}}, {'close': {'day': 0, 'time': '2230'}, 'open': {'day': 0, 'time': '1700'}}, {'close': {'day': 2, 'time': '1500'}, 'open': {'day': 2, 'time': '0900'}}, {'close': {'day': 2, 'time': '2230'}, 'open': {'day': 2, 'time': '1700'}}, {'close': {'day': 3, 'time': '1500'}, 'open': {'day': 3, 'time': '0900'}}, {'close': {'day': 3, 'time': '2230'}, 'open': {'day': 3, 'time': '1700'}}, {'close': {'day': 4, 'time': '1500'}, 'open': {'day': 4, 'time': '0900'}}, {'close': {'day': 4, 'time': '2230'}, 'open': {'day': 4, 'time': '1700'}}, {'close': {'day': 5, 'time': '1500'}, 'open': {'day': 5, 'time': '0900'}}, {'close': {'day': 5, 'time': '2230'}, 'open': {'day': 5, 'time': '1700'}}, {'close': {'day': 6, 'time': '1500'}, 'open': {'day': 6, 'time': '0900'}}, {'close': {'day': 6, 'time': '2230'}, 'open': {'day': 6, 'time': '1700'}}]",AdDdOWpdv2ElUswteZtjcfVyOqM6z5526U8akwc7AM7vvzgOyK6RYTFGTyKqSjqsvyCMXgcgMWj-SQqwc3chO9t17XEIiN4tNWZhHdOoxLi_WtAYq8JkFUVMAPtnQK_0mp-DcWo5MmGper9iqZeviMCwwZhU41UzFDTtZdpQvIvsObJ-ijk,642,https://maps.google.com/?cid=10034224121693949623,4.9,2.5,4.7
6,6,ChIJTSOEdJlw44kRXrNf75HKeIc,Harvard Gardens,2.0,4.4,"restaurant, food, point_of_interest, establishment","316 Cambridge St, Boston, MA 02114, USA",(617) 523-2727,"[{'close': {'day': 0, 'time': '2200'}, 'open': {'day': 0, 'time': '1030'}}, {'close': {'day': 2, 'time': '0000'}, 'open': {'day': 1, 'time': '1130'}}, {'close': {'day': 3, 'time': '0000'}, 'open': {'day': 2, 'time': '1130'}}, {'close': {'day': 4, 'time': '0100'}, 'open': {'day': 3, 'time': '1130'}}, {'close': {'day': 5, 'time': '0100'}, 'open': {'day': 4, 'time': '1130'}}, {'close': {'day': 6, 'time': '0100'}, 'open': {'day': 5, 'time': '1130'}}, {'close': {'day': 0, 'time': '0100'}, 'open': {'day': 6, 'time': '1130'}}]",AdDdOWp_kKOybM2q5ex8FBPdc7UuuvoPNzdgHWmYNeqzofg05Q39OnEpYrmFpq7Jh9rXq2enDl51LOGKcsQx6Z-dUlmtpQVFPznkARSpYZSvx_by2n3a4fsBV6maTEnMmhz8iC1Mzqk6j18Pms9ltNqR4yVJkN9PWTurHI5sYQWiBxGDo98u,917,https://maps.google.com/?cid=9761774920460645214,2.5,4.0,4.6
7,7,ChIJL83OHI9544kR-wWs4UQ_ejU,Laughing Monk Cafe,2.0,4.5,"restaurant, food, point_of_interest, establishment","737 Huntington Ave, Boston, MA 02115, USA",(617) 232-8000,"[{'close': {'day': 0, 'time': '2100'}, 'open': {'day': 0, 'time': '1200'}}, {'close': {'day': 2, 'time': '1500'}, 'open': {'day': 2, 'time': '1100'}}, {'close': {'day': 2, 'time': '2130'}, 'open': {'day': 2, 'time': '1700'}}, {'close': {'day': 3, 'time': '1500'}, 'open': {'day': 3, 'time': '1100'}}, {'close': {'day': 3, 'time': '2130'}, 'open': {'day': 3, 'time': '1700'}}, {'close': {'day': 4, 'time': '1500'}, 'open': {'day': 4, 'time': '1100'}}, {'close': {'day': 4, 'time': '2130'}, 'open': {'day': 4, 'time': '1700'}}, {'close': {'day': 5, 'time': '1500'}, 'open': {'day': 5, 'time': '1100'}}, {'close': {'day': 5, 'time': '2200'}, 'open': {'day': 5, 'time': '1700'}}, {'close': {'day': 6, 'time': '2200'}, 'open': {'day': 6, 'time': '1200'}}]",AdDdOWpOmmtWpPGf-swIOX9n0o6dfu2mjHArpZ0Oqdgoz-2igzP_78f0HnNee85ZgX1VEA8Gxbw-RSqabBOmXP5f2yYCJY74xKq4E8P_eqIbOo0j6ZJduyytuY0kdKPBmvr0aDU_m9vq8LM1IcupgVfkscmc1gb1hGTtPOTgxRB3hjQlqZDd,827,https://maps.google.com/?cid=3853461996245353979,4.4,4.7,4.4
8,8,ChIJrwaHLR5644kRGchH9Bfuzho,M&J Teriyaki,2.0,4.4,"restaurant, meal_takeaway, food, point_of_interest, establishment","130 Jersey St, Boston, MA 02215, USA",(617) 424-0900,"[{'close': {'day': 0, 'time': '2045'}, 'open': {'day': 0, 'time': '1100'}}, {'close': {'day': 2, 'time': '2045'}, 'open': {'day': 2, 'time': '1100'}}, {'close': {'day': 3, 'time': '2045'}, 'open': {'day': 3, 'time': '1100'}}, {'close': {'day': 4, 'time': '2045'}, 'open': {'day': 4, 'time': '1100'}}, {'close': {'day': 5, 'time': '2045'}, 'open': {'day': 5, 'time': '1100'}}, {'close': {'day': 6, 'time': '2045'}, 'open': {'day': 6, 'time': '1100'}}]",AdDdOWp9Qux1yJ-4YHTimZL6MN_Ge6JwaVzoPSuN24rYT3w4BrxgBBfA1LX2adgfp65z33LCiJENk6why1x6EKGnuy-QxNkARkzzra7ltu2cdW9dArcV3gVJn7Orv5kxvXEtu8sZShbqjCkhDwqvi5Vo3dPGqMp_Sq8FTWHxLfR7MCzeS2Du,138,https://maps.google.com/?cid=1931743076838524953,2.5,2.5,4.6
9,9,ChIJG_7Z4_V544kRalvwsGSoZaI,Tasty Burger,1.0,4.4,"bar, restaurant, food, point_of_interest, establishment","86 Van Ness St, Boston, MA 02215, USA",(617) 425-4444,"[{'close': {'day': 1, 'time': '0200'}, 'open': {'day': 0, 'time': '1100'}}, {'close': {'day': 2, 'time': '0200'}, 'open': {'day': 1, 'time': '1100'}}, {'close': {'day': 3, 'time': '0200'}, 'open': {'day': 2, 'time': '1100'}}, {'close': {'day': 4, 'time': '0200'}, 'open': {'day': 3, 'time': '1100'}}, {'close': {'day': 5, 'time': '0200'}, 'open': {'day': 4, 'time': '1100'}}, {'close': {'day': 6, 'time': '0200'}, 'open': {'day': 5, 'time': '1100'}}, {'close': {'day': 0, 'time': '0200'}, 'open': {'day': 6, 'time': '1100'}}]",AdDdOWoLA1EBmDqWKUYvSauXTQ9_8HZdKM1AwDmzcbRtoNeEnhyX4yVqNepBkxh4PzHCKhC1YoAV02Wqhxv7vGHsUSSdb-A2NmjbVkU-r6BVwimF68NXqhHEA7xQ2EbEv1iyWoqWL-iaJdTDoXbLfvwVe-ZW99sVkyU2KM86tOfr2P9LUTKA,3477,https://maps.google.com/?cid=11701944357210839914,4.5,4.9,4.2
